Invoice ID,Branch,City,Customer Type,Gender,Category,Product,Unit Price,Quantity,Payment Method,Rating,Date
INV-1001,Branch C,Naypyitaw,Member,Male,Fashion accessories,Leather Belt,21.35,2,Credit card,8.8,2026-01-12
INV-1002,Branch C,Naypyitaw,Member,Female,Electronic accessories,USB-C Fast Charger,18.02,10,Cash,6.1,2026-03-25
INV-1003,Branch C,Naypyitaw,Member,Female,Health and beauty,Bamboo Toothbrush Set,11.06,1,E-wallet,5.9,2026-02-24
INV-1004,Branch B,Mandalay,Member,Female,Food and beverages,Organic Green Tea,9.3,2,Credit card,6.8,2026-02-03
INV-1005,Branch A,Yangon,Normal,Female,Health and beauty,Hydrating Face Serum,42.98,10,E-wallet,6.9,2026-01-25
INV-1006,Branch C,Naypyitaw,Member,Female,Food and beverages,Organic Green Tea,19.97,2,Credit card,7.2,2026-02-16
INV-1007,Branch A,Yangon,Member,Female,Sports and travel,Travel Neck Pillow,23.83,2,Credit card,6.0,2026-02-01
INV-1008,Branch A,Yangon,Member,Male,Sports and travel,Collapsible Duffle Bag,32.25,6,E-wallet,8.3,2026-01-30
INV-1009,Branch A,Yangon,Normal,Male,Food and beverages,Organic Green Tea,10.95,10,E-wallet,6.7,2026-03-25
INV-1010,Branch B,Mandalay,Member,Male,Fashion accessories,Casual Backpack,41.28,9,Credit card,8.2,2026-02-24
INV-1011,Branch C,Naypyitaw,Member,Female,Fashion accessories,Wristwatch,71.65,1,E-wallet,5.9,2026-01-21
INV-1012,Branch C,Naypyitaw,Member,Female,Health and beauty,Aromatherapy Essential Oil,23.53,8,Credit card,9.4,2026-01-02
INV-1013,Branch C,Naypyitaw,Normal,Male,Sports and travel,Travel Neck Pillow,15.56,7,Cash,,2026-02-03
INV-1014,Branch C,Naypyitaw,Normal,Female,Sports and travel,Travel Neck Pillow,25.78,9,Credit card,5.9,2026-01-21
INV-1015,Branch C,Naypyitaw,Normal,Female,Home and lifestyle,Microfiber Bed Sheet,46.08,2,E-wallet,8.7,2026-02-09
INV-1016,Branch A,Yangon,Member,Female,Electronic accessories,Power Bank 20000mAh,45.4,9,E-wallet,5.7,2026-03-02
INV-1017,Branch C,Naypyitaw,Member,Male,Fashion accessories,Wristwatch,85.78,4,E-wallet,7.0,2026-03-27
